,Closest Match,Medicine Name,Active Ingredients,Product Number,List of Excipients,Dosage Form,Formulated compound SMILES,Parent compound SMILES,Parent ChEMBL ID
509,EMPAGLIFLOZIN,Synjardy,"['EMPAGLIFLOZIN', 'METFORMIN']",EMEA/H/C/003770,"['TITANIUM DIOXIDE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'MAIZE STARCH']",Tablet,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2107830
510,METFORMIN HYDROCHLORIDE,Synjardy,"['EMPAGLIFLOZIN', 'METFORMIN']",EMEA/H/C/003770,"['TITANIUM DIOXIDE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'MAIZE STARCH']",Tablet,CN(C)C(=N)N=C(N)N.Cl,CN(C)C(=N)N=C(N)N,CHEMBL1431
511,EMPAGLIFLOZIN,Glyxambi,"['EMPAGLIFLOZIN', 'LINAGLIPTIN']",EMEA/H/C/003833,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'MANNITOL', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'COPOVIDONE', 'MAIZE STARCH', 'CROSPOVIDONE']",Tablet,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2107830
512,LINAGLIPTIN,Glyxambi,"['EMPAGLIFLOZIN', 'LINAGLIPTIN']",EMEA/H/C/003833,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'MANNITOL', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'COPOVIDONE', 'MAIZE STARCH', 'CROSPOVIDONE']",Tablet,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL237500
513,APALUTAMIDE,Erleada,['APALUTAMIDE'],EMEA/H/C/004452,"['TITANIUM DIOXIDE', 'HYPROMELLOSE ACETATE SUCCINATE', 'MAGNESIUM STEARATE', 'POLYVINYL ALCOHOL', 'TALC', 'MACROGOL POLY (VINYL ALCOHOL) GRAFTED COPOLYMER', 'IRON OXIDE', 'GLYCEROL MONOCAPRYLOCAPRATE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICIFIED MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM']",Tablet,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,CHEMBL3183409
514,CEDAZURIDINE,Inaqovi,"['CEDAZURIDINE', 'DECITABINE']",EMEA/H/C/005823,"['TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM']",Tablet,C1CN(C(=O)N[C@@H]1O)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,CHEMBL3237547
515,DECITABINE,Inaqovi,"['CEDAZURIDINE', 'DECITABINE']",EMEA/H/C/005823,"['TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM']",Tablet,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL1201129
516,CLOPIDOGREL HYDROGEN SULPHATE,Clopidogrel / Acetylsalicylic acid Mylan,"['ACETYLSALICYLIC ACID', 'CLOPIDOGREL HYDROGEN SULFATE']",EMEA/H/C/004996,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'HYDROGENATED CASTOR OIL', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LACTOSE', 'STEARIC ACID', 'TALC', 'ALLURA RED', 'HYDROXYPROPYLCELLULOSE', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'GLYCEROL MONOCAPRYLOCAPRATE', 'SILICON DIOXIDE, ANHYDROUS', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Tablet,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,CHEMBL1771
517,ACETYLSALICYLIC ACID,Clopidogrel / Acetylsalicylic acid Mylan,"['ACETYLSALICYLIC ACID', 'CLOPIDOGREL HYDROGEN SULFATE']",EMEA/H/C/004996,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'HYDROGENATED CASTOR OIL', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LACTOSE', 'STEARIC ACID', 'TALC', 'ALLURA RED', 'HYDROXYPROPYLCELLULOSE', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'GLYCEROL MONOCAPRYLOCAPRATE', 'SILICON DIOXIDE, ANHYDROUS', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25
518,AMLODIPINE BESILATE,Dafiro HCT,"['VALSARTAN', 'HYDROCHLOROTHIAZIDE', 'AMLODIPINE BESILATE']",EMEA/H/C/001160,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CHEMBL1491
519,VALSARTAN,Dafiro HCT,"['VALSARTAN', 'HYDROCHLOROTHIAZIDE', 'AMLODIPINE BESILATE']",EMEA/H/C/001160,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,CHEMBL1069
520,HYDROCHLOROTHIAZIDE,Dafiro HCT,"['VALSARTAN', 'HYDROCHLOROTHIAZIDE', 'AMLODIPINE BESILATE']",EMEA/H/C/001160,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435
521,AMLODIPINE BESILATE,Copalia HCT,"['AMLODIPINE', 'VALSARTAN', 'HYDROCHLOROTHIAZIDE']",EMEA/H/C/001159,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,CHEMBL1491
522,VALSARTAN,Copalia HCT,"['AMLODIPINE', 'VALSARTAN', 'HYDROCHLOROTHIAZIDE']",EMEA/H/C/001159,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,CHEMBL1069
523,HYDROCHLOROTHIAZIDE,Copalia HCT,"['AMLODIPINE', 'VALSARTAN', 'HYDROCHLOROTHIAZIDE']",EMEA/H/C/001159,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435
524,SOFOSBUVIR,Sovaldi,['SOFOSBUVIR'],EMEA/H/C/002798,"['TITANIUM DIOXIDE', 'MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
525,SOFOSBUVIR,Sovaldi,['SOFOSBUVIR'],EMEA/H/C/002798,"['MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'POLYMETHACRYLATES', 'HYPROMELLOSE', 'STEARIC ACID', 'SODIUM STEARYL FUMARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'HYDROXYPROPYLCELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Granules,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
526,SOFOSBUVIR,Vosevi,"['SOFOSBUVIR', 'VELPATASVIR', 'VOXILAPREVI']",EMEA/H/C/004350,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
527,VELPATASVIR,Vosevi,"['SOFOSBUVIR', 'VELPATASVIR', 'VOXILAPREVI']",EMEA/H/C/004350,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@H]1CC[C@H](N1C(=O)[C@H](C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)[C@@H]8C[C@@H](CN8C(=O)[C@@H](C9=CC=CC=C9)NC(=O)OC)COC,COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6[nH]c([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)nc65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,CHEMBL3545062
528,VOXILAPREVIR,Vosevi,"['SOFOSBUVIR', 'VELPATASVIR', 'VOXILAPREVI']",EMEA/H/C/004350,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,CC[C@@H]1[C@@H]2CN([C@@H]1C(=O)N[C@@]3(C[C@H]3C(F)F)C(=O)NS(=O)(=O)C4(CC4)C)C(=O)[C@@H](NC(=O)O[C@@H]5C[C@H]5CCCCC(C6=NC7=C(C=C(C=C7)OC)N=C6O2)(F)F)C(C)(C)C,CC[C@@H]1[C@@H]2CN(C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]3C[C@H]3CCCCC(F)(F)c3nc4ccc(OC)cc4nc3O2)[C@@H]1C(=O)N[C@]1(C(=O)NS(=O)(=O)C2(C)CC2)C[C@H]1C(F)F,CHEMBL4474855
529,LEDIPASVIR,Harvoni,"['LEDIPASVIR', 'SOFOSBUVIR']",EMEA/H/C/003850,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'SUNSET YELLOW', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C,CHEMBL2374220
530,SOFOSBUVIR,Harvoni,"['LEDIPASVIR', 'SOFOSBUVIR']",EMEA/H/C/003850,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'SUNSET YELLOW', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
531,LEDIPASVIR,Harvoni,"['LEDIPASVIR', 'SOFOSBUVIR']",EMEA/H/C/003850,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'POLYMETHACRYLATES', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Granules,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1ncc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5nc([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc2-3)[nH]1)C(C)C,CHEMBL2374220
532,SOFOSBUVIR,Harvoni,"['LEDIPASVIR', 'SOFOSBUVIR']",EMEA/H/C/003850,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'POLYMETHACRYLATES', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Granules,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
533,SOFOSBUVIR,Epclusa,"['SOFOSBUVIR', 'VELPATASVIR']",EMEA/H/C/004210,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
534,VELPATASVIR,Epclusa,"['SOFOSBUVIR', 'VELPATASVIR']",EMEA/H/C/004210,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@H]1CC[C@H](N1C(=O)[C@H](C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)[C@@H]8C[C@@H](CN8C(=O)[C@@H](C9=CC=CC=C9)NC(=O)OC)COC,COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6[nH]c([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)nc65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,CHEMBL3545062
535,SOFOSBUVIR,Epclusa,"['SOFOSBUVIR', 'VELPATASVIR']",EMEA/H/C/004210,"['L-TARTARIC ACID', 'TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'POLYMETHACRYLATES', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'STEARIC ACID', 'POLYETHYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Granules,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CHEMBL1259059
536,VELPATASVIR,Epclusa,"['SOFOSBUVIR', 'VELPATASVIR']",EMEA/H/C/004210,"['L-TARTARIC ACID', 'TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'POLYMETHACRYLATES', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'STEARIC ACID', 'POLYETHYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'CROSCARMELLOSE SODIUM']",Granules,C[C@H]1CC[C@H](N1C(=O)[C@H](C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)[C@@H]8C[C@@H](CN8C(=O)[C@@H](C9=CC=CC=C9)NC(=O)OC)COC,COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6[nH]c([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)nc65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,CHEMBL3545062
537,MYCOPHENOLATE MOFETIL,Myfenax,['MYCOPHENOLATE MOFETIL'],EMEA/H/C/000884,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'MAGNESIUM STEARATE', 'PRINTING INK', 'POVIDONE', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM', 'POTASSIUM HYDROXIDE']",Hard Capsule,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,CHEMBL1456
538,MYCOPHENOLATE MOFETIL,Myfenax,['MYCOPHENOLATE MOFETIL'],EMEA/H/C/000884,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'TALC', 'IRON OXIDE', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,CHEMBL1456
539,ABIRATERONE ACETATE,Abiraterone Accord,['ABIRATERONE ACETATE'],EMEA/H/C/005408,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,CHEMBL271227
540,SAQUINAVIR MESILATE,Invirase,['SAQUINAVIR'],EMEA/H/C/000113,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POVIDONE', 'TALC', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O.CS(=O)(=O)O,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,CHEMBL114
541,ULIPRISTAL ACETATE,ellaOne,['ULIPRISTAL'],EMEA/H/C/001027,"['MAGNESIUM STEARATE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'POVIDONE']",Tablet,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL260538
542,ULIPRISTAL ACETATE,ellaOne,['ULIPRISTAL'],EMEA/H/C/001027,"['TITANIUM DIOXIDE', 'POLYSORBATE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'POVIDONE', 'TALC', 'POTASSIUM ALUMINIUM SILICATE', 'IRON OXIDE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CHEMBL260538
